Country,Type,Gas,year,Emissions (kt CO eq),Difference in Emissions,% Difference in Emissions,Absolute change since 1990,Percentage change since 1990,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),1998,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),1999,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),2000,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),2001,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),2002,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),2003,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),2004,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),2005,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),2006,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),2007,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),2008,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),2009,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),2010,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),2011,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),2012,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),2013,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),2014,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),2015,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),2016,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),2017,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),2018,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),2019,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),2020,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),2021,,0,0.00%,,,,
Greece,Total net emissions with international transport (EEA),Unspecified mix of HFCs and PFCs - (CO2 equivalent),2022,,0,0.00%,,,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1990,92206,92206479,0.00%,0,0.00%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1991,86734,-5472535,-5.90%,-5472535,-5.90%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1992,76203,-10531131,-12.10%,-16003667,-17.40%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1993,73971,-2231337,-2.90%,-18235004,-19.80%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1994,73041,-930224,-1.30%,-19165227,-20.80%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1995,71870,-1171752,-1.60%,-20336979,-22.10%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1996,77825,5955911,8.30%,-14381068,-15.60%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1997,75916,-1909900,-2.50%,-16290968,-17.70%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1998,74366,-1549578,-2.00%,-17840547,-19.30%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1999,76951,2585339,3.50%,-15255208,-16.50%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2000,75073,-1878504,-2.40%,-17133712,-18.60%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2001,75185,111918,0.10%,-17021794,-18.50%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2002,74226,-958744,-1.30%,-17980539,-19.50%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2003,74766,539801,0.70%,-17440737,-18.90%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2004,74690,-75309,-0.10%,-17516046,-19.00%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2005,72081,-2609661,-3.50%,-20125707,-21.80%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2006,72490,409202,0.60%,-19716505,-21.40%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2007,70502,-1987553,-2.70%,-21704059,-23.50%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2008,66738,-3764152,-5.30%,-25468210,-27.60%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2009,62037,-4701615,-7.00%,-30169825,-32.70%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2010,62430,393084,0.60%,-29776741,-32.30%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2011,61384,-1045748,-1.70%,-30822489,-33.40%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2012,57279,-4104689,-6.70%,-34927178,-37.90%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2013,54961,-2317837,-4.00%,-37245014,-40.40%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2014,54311,-650665,-1.20%,-37895679,-41.10%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2015,56943,2632654,4.80%,-35263024,-38.20%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2016,58636,1692562,3.00%,-33570462,-36.40%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2017,60287,1651235,2.80%,-31919227,-34.60%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2018,60955,668078,1.10%,-31251149,-33.90%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2019,60125,-830022,-1.40%,-32081171,-34.80%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2020,55889,-4236592,-7.00%,-36317763,-39.40%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2021,56927,1038333,1.90%,-35279430,-38.30%,,
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2022,53529,-3398154,-6.00%,-38677584,-41.90%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1990,13872,-39656897,-74.10%,0,0.00%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1991,13684,-187927,-1.40%,-187927,-1.40%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1992,12462,-1222297,-8.90%,-1410224,-10.20%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1993,12051,-411072,-3.30%,-1821296,-13.10%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1994,11804,-247016,-2.00%,-2068312,-14.90%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1995,11736,-67875,-0.60%,-2136187,-15.40%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1996,11836,99792,0.90%,-2036395,-14.70%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1997,11791,-44504,-0.40%,-2080900,-15.00%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1998,11693,-98147,-0.80%,-2179046,-15.70%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1999,11756,63304,0.50%,-2115742,-15.30%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2000,11899,142817,1.20%,-1972925,-14.20%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2001,11711,-187983,-1.60%,-2160908,-15.60%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2002,11606,-104869,-0.90%,-2265777,-16.30%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2003,11710,103340,0.90%,-2162436,-15.60%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2004,11327,-382985,-3.30%,-2545421,-18.30%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2005,11072,-254453,-2.20%,-2799874,-20.20%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2006,10478,-593926,-5.40%,-3393800,-24.50%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2007,10232,-246570,-2.40%,-3640370,-26.20%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2008,9940,-291630,-2.90%,-3932000,-28.30%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2009,9859,-81052,-0.80%,-4013052,-28.90%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2010,9871,12318,0.10%,-4000734,-28.80%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2011,9757,-114479,-1.20%,-4115212,-29.70%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2012,9884,126736,1.30%,-3988477,-28.80%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2013,9695,-188995,-1.90%,-4177472,-30.10%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2014,9485,-209136,-2.20%,-4386607,-31.60%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2015,9515,29689,0.30%,-4356918,-31.40%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2016,9417,-98168,-1.00%,-4455086,-32.10%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2017,9445,28049,0.30%,-4427038,-31.90%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2018,9356,-89141,-0.90%,-4516179,-32.60%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2019,9282,-73666,-0.80%,-4589845,-33.10%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2020,9185,-96667,-1.00%,-4686512,-33.80%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2021,9014,-171379,-1.90%,-4857891,-35.00%,,
Hungary,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2022,8803,-211118,-2.30%,-5069008,-36.50%,,
Hungary,Total net emissions with international transport (EEA),CO2,1990,70514,61710570,701.00%,0,0.00%,,
Hungary,Total net emissions with international transport (EEA),CO2,1991,67658,-2855643,-4.00%,-2855643,-4.00%,,
Hungary,Total net emissions with international transport (EEA),CO2,1992,59566,-8091757,-12.00%,-10947400,-15.50%,,
Hungary,Total net emissions with international transport (EEA),CO2,1993,57549,-2017634,-3.40%,-12965034,-18.40%,,
Hungary,Total net emissions with international transport (EEA),CO2,1994,55982,-1566397,-2.70%,-14531431,-20.60%,,
Hungary,Total net emissions with international transport (EEA),CO2,1995,55602,-380595,-0.70%,-14912027,-21.10%,,
Hungary,Total net emissions with international transport (EEA),CO2,1996,60930,5328285,9.60%,-9583742,-13.60%,,
Hungary,Total net emissions with international transport (EEA),CO2,1997,59027,-1902368,-3.10%,-11486110,-16.30%,,
Hungary,Total net emissions with international transport (EEA),CO2,1998,57567,-1460405,-2.50%,-12946514,-18.40%,,
Hungary,Total net emissions with international transport (EEA),CO2,1999,60162,2595093,4.50%,-10351421,-14.70%,,
Hungary,Total net emissions with international transport (EEA),CO2,2000,57786,-2375934,-3.90%,-12727355,-18.00%,,
Hungary,Total net emissions with international transport (EEA),CO2,2001,57670,-116500,-0.20%,-12843856,-18.20%,,
Hungary,Total net emissions with international transport (EEA),CO2,2002,57349,-320967,-0.60%,-13164823,-18.70%,,
Hungary,Total net emissions with international transport (EEA),CO2,2003,57736,386940,0.70%,-12777882,-18.10%,,
Hungary,Total net emissions with international transport (EEA),CO2,2004,57180,-555655,-1.00%,-13333537,-18.90%,,
Hungary,Total net emissions with international transport (EEA),CO2,2005,54891,-2288717,-4.00%,-15622254,-22.20%,,
Hungary,Total net emissions with international transport (EEA),CO2,2006,56242,1350974,2.50%,-14271280,-20.20%,,
Hungary,Total net emissions with international transport (EEA),CO2,2007,54868,-1374753,-2.40%,-15646033,-22.20%,,
Hungary,Total net emissions with international transport (EEA),CO2,2008,51924,-2943162,-5.40%,-18589195,-26.40%,,
Hungary,Total net emissions with international transport (EEA),CO2,2009,47506,-4418371,-8.50%,-23007566,-32.60%,,
Hungary,Total net emissions with international transport (EEA),CO2,2010,47868,361803,0.80%,-22645763,-32.10%,,
Hungary,Total net emissions with international transport (EEA),CO2,2011,46639,-1228854,-2.60%,-23874616,-33.90%,,
Hungary,Total net emissions with international transport (EEA),CO2,2012,42391,-4247493,-9.10%,-28122110,-39.90%,,
Hungary,Total net emissions with international transport (EEA),CO2,2013,39881,-2510337,-5.90%,-30632446,-43.40%,,
Hungary,Total net emissions with international transport (EEA),CO2,2014,39024,-857009,-2.10%,-31489455,-44.70%,,
Hungary,Total net emissions with international transport (EEA),CO2,2015,41374,2349776,6.00%,-29139679,-41.30%,,
Hungary,Total net emissions with international transport (EEA),CO2,2016,43030,1655936,4.00%,-27483743,-39.00%,,
Hungary,Total net emissions with international transport (EEA),CO2,2017,44687,1656985,3.90%,-25826758,-36.60%,,
Hungary,Total net emissions with international transport (EEA),CO2,2018,45370,683071,1.50%,-25143687,-35.70%,,
Hungary,Total net emissions with international transport (EEA),CO2,2019,44581,-788500,-1.70%,-25932187,-36.80%,,
Hungary,Total net emissions with international transport (EEA),CO2,2020,40268,-4313539,-9.70%,-30245727,-42.90%,,
Hungary,Total net emissions with international transport (EEA),CO2,2021,41466,1197698,3.00%,-29048028,-41.20%,,
Hungary,Total net emissions with international transport (EEA),CO2,2022,39130,-2335982,-5.60%,-31384010,-44.50%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1990,356,-38774036,-99.10%,0,0.00%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1991,324,-31955,-9.00%,-31955,-9.00%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1992,210,-113769,-35.20%,-145724,-41.00%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1993,235,25042,11.90%,-120682,-33.90%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1994,263,28208,12.00%,-92474,-26.00%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1995,291,28066,10.70%,-64409,-18.10%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1996,302,10434,3.60%,-53974,-15.20%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1997,340,38667,12.80%,-15307,-4.30%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1998,422,81758,24.00%,66451,18.70%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1999,512,90240,21.40%,156691,44.10%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2000,549,37229,7.30%,193920,54.50%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2001,574,24736,4.50%,218656,61.50%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2002,650,75364,13.10%,294020,82.70%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2003,767,117918,18.20%,411937,115.90%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2004,933,165870,21.60%,577807,162.50%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2005,1101,167670,18.00%,745477,209.70%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2006,1006,-95126,-8.60%,650351,182.90%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2007,1111,104946,10.40%,755297,212.50%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2008,1220,108966,9.80%,864264,243.10%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2009,1273,53045,4.30%,917309,258.00%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2010,1366,92999,7.30%,1010308,284.20%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2011,1484,117956,8.60%,1128264,317.40%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2012,1546,62070,4.20%,1190333,334.80%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2013,1641,95371,6.20%,1285704,361.60%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2014,1849,207960,12.70%,1493664,420.10%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2015,2008,159113,8.60%,1652778,464.90%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2016,1915,-93385,-4.60%,1559393,438.60%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2017,1869,-46330,-2.40%,1513062,425.60%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2018,1891,21979,1.20%,1535041,431.80%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2019,1924,33448,1.80%,1568489,441.20%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2020,1957,32969,1.70%,1601457,450.50%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2021,1939,-17906,-0.90%,1583551,445.40%,,
Hungary,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2022,1858,-80981,-4.20%,1502570,422.60%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1990,0,-1858082,-100.00%,0,0.00%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1991,14,13758,639077.60%,13758,639077.60%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1992,23,9436,68.60%,23194,1077423.30%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1993,24,692,3.00%,23887,1109590.00%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1994,28,4052,17.00%,27938,1297814.40%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1995,33,5297,19.00%,33236,1543877.70%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1996,39,5781,17.40%,39017,1812430.70%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1997,61,22447,57.50%,61464,2855149.80%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1998,86,24957,40.60%,86421,4014468.50%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1999,176,89185,103.20%,175605,8157324.50%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2000,204,28018,16.00%,203624,9458838.00%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2001,244,40485,19.90%,244109,11339488.80%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2002,332,87496,35.80%,331605,15403926.00%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2003,454,122424,36.90%,454029,21090839.00%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2004,589,134704,29.70%,588733,27348170.00%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2005,749,159961,27.20%,748694,34778788.60%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2006,891,141941,19.00%,890635,41372295.10%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2007,995,104524,11.70%,995159,46227698.10%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2008,1120,125338,12.60%,1120497,52049974.20%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2009,1180,59936,5.30%,1180433,54834164.80%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2010,1258,77782,6.60%,1258215,58447326.40%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2011,1391,132875,10.60%,1391090,64619728.80%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2012,1453,62138,4.50%,1453228,67506194.30%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2013,1527,74066,5.10%,1527294,70946772.10%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2014,1759,231900,15.20%,1759194,81719124.50%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2015,1887,127520,7.20%,1886715,87642770.10%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2016,1778,-109107,-5.80%,1777608,82574485.50%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2017,1747,-30802,-1.70%,1746806,81143658.60%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2018,1786,39248,2.20%,1786054,82966827.40%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2019,1817,31224,1.70%,1817278,84417264.50%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2020,1839,21815,1.20%,1839093,85430620.10%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2021,1830,-8674,-0.50%,1830419,85027682.10%,,
Hungary,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2022,1746,-84185,-4.60%,1746234,81117073.50%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1990,7465,5719171,327.50%,0,0.00%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1991,5068,-2397010,-32.10%,-2397010,-32.10%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1992,3965,-1103308,-21.80%,-3500318,-46.90%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1993,4137,172327,4.30%,-3327991,-44.60%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1994,4992,854982,20.70%,-2473010,-33.10%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1995,4241,-751347,-15.00%,-3224357,-43.20%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1996,4758,517400,12.20%,-2706957,-36.30%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1997,4757,-1695,0.00%,-2708652,-36.30%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1998,4684,-72785,-1.50%,-2781437,-37.30%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1999,4521,-163298,-3.50%,-2944735,-39.40%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2000,4838,317384,7.00%,-2627352,-35.20%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2001,5230,391666,8.10%,-2235686,-29.90%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2002,4621,-608273,-11.60%,-2843959,-38.10%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2003,4553,-68397,-1.50%,-2912356,-39.00%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2004,5251,697461,15.30%,-2214895,-29.70%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2005,5016,-234161,-4.50%,-2449056,-32.80%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2006,4764,-252720,-5.00%,-2701776,-36.20%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2007,4292,-471176,-9.90%,-3172953,-42.50%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2008,3654,-638326,-14.90%,-3811279,-51.10%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2009,3399,-255237,-7.00%,-4066516,-54.50%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2010,3325,-74036,-2.20%,-4140552,-55.50%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2011,3504,179629,5.40%,-3960924,-53.10%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2012,3458,-46001,-1.30%,-4006925,-53.70%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2013,3745,286124,8.30%,-3720801,-49.80%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2014,3952,207520,5.50%,-3513281,-47.10%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2015,4046,94076,2.40%,-3419204,-45.80%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2016,4274,228179,5.60%,-3191026,-42.70%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2017,4287,12532,0.30%,-3178493,-42.60%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2018,4339,52170,1.20%,-3126324,-41.90%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2019,4338,-1304,0.00%,-3127627,-41.90%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2020,4478,140645,3.20%,-2986982,-40.00%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2021,4508,29919,0.70%,-2957063,-39.60%,,
Hungary,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2022,3738,-770073,-17.10%,-3727136,-49.90%,,
Hungary,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),1990,,-3738271,-100.00%,,,,
Hungary,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),1991,,0,0.00%,,,,
